supplier,supplier_label,supplier_name,spend,transactions
162725,Manchester Prime Care Ltd,Manchester Prime Care Ltd,168215.25,451
GB416749083,Fair Ways Ltd,Fair Ways Ltd,167590.2,10
168941,Classic Care Homes (Devon) Limited,Classic Care Homes (Devon) Limited,167128.68,130
166960,Our Lady Of Lourdes Catholic Prim S,Our Lady Of Lourdes Catholic Prim S,166931.0,18
GB248280396,Cygnet Care Services Limited,Short Ground Limited,166869.74,21
GB611853162,AECOM Ltd,AECOM Ltd,166807.41,6
168407,One Home Uk Care LTD,One Home Uk Care LTD,166337.85,10
168467,Crystal Care Solutions,Crystal Care Solutions,165797.12,9
163938,Homes for Support,Homes for Support,164471.16,8
164060,London & Manchester Healthcare Ltd,London & Manchester Healthcare Ltd,164327.5,96
GB463395274,Affinity Workforce Solutions Ltd,Affinity Workforce Solutions Ltd,163238.01,305
167416,Flourish Fostering Limited,Flourish Fostering Limited,163175.38999999998,67
GB212968892,Lakeview Health Care Ltd,Acer Mews Health Care Limited,160576.86000000002,36
123367,Barton Clough Pre-School,Barton Clough Pre-School,160140.65,49
GB212968892,Lakeview Health Care Ltd,Church Walk Health Care Ltd,159284.85,36
168334,Key Care and Support Ltd,Key Care and Support Ltd,159174.0,30
168363,Next Steps Mental Healthcare Ltd,Next Steps Mental Healthcare Ltd,158505.84,64
468928919,Nestlings Care Ltd,Nestlings Care Ltd,157576.5,15
GB846225719,Ingenitech Limited,Ingenitech Limited,156766.5,55
GB448866928,RedCortex Ltd,RedCortex Ltd,156040.0,2
165357,Hollybank Trust,Hollybank Trust,155954.27000000002,32
100764,Home-Start Trafford,Home-Start Trafford,155333.0,9
104094,Barker Care Ltd,Barker Care Ltd,155247.49,97
161382,St Hildaâs CE Primary School,St Hildaâs CE Primary School,154989.0,13
GB367726459,Working on Wellbeing Ltd,Working on Wellbeing Ltd,154336.0,36
GB244804509,Beechkeys Ltd,Beechkeys Ltd,151251.01,25
GB444609683,City of Trees,City of Trees,150000.0,2
GB636137149,RingGo Ltd,RingGo Ltd,149891.6,57
115758,Loreto College,Loreto College,149845.13,39
163140,Sensory Housing Ltd,Sensory Housing Ltd,149473.15,68
137307,Stepping Stone Projects,Stepping Stone Projects,148266.78,180
GB769009015,Pollock Lifts Limited,Pollock Lifts Limited,147993.0,12
GB434205331,Castlefield Recruitment Ltd,Castlefield Recruitment Ltd,147616.59,69
162874,Elmridge Primary School,Elmridge Primary School,147339.0,10
167964,English Martyrs RC Primary School,English Martyrs RC Primary School,145946.0,9
GB348147388,Prospere Learn Trust Chorlt High,Prospere Learn Trust Chorlt High,145304.03,74
166952,Full Circle Care Ltd,Full Circle Care Ltd,145289.93,27
158655,Prepaid Financial Services Ltd,Prepaid Financial Services Ltd,145139.74,215
166407,Coed Du Hall Ltd,Coed Du Hall Ltd,144264.55000000002,76
GB915896970,Lifeways Paragon Ltd,Autism Care (UK) Ltd,144025.42,21
165574,Amore Complex Care Ltd,Amore Complex Care Ltd,143389.56,254
135891,The Care Company Plus Limited,The Care Company Plus Limited,143305.99,1011
167386,SMS Coaching Limited,SMS Coaching Limited,143042.0,12
GB120576340,HC-One Ltd,HC-One Ltd,142381.99,122
158931,Project Inc,Project Inc,141785.26,65
168770,Tanglewood Care Services Ltd,Tanglewood Care Services Ltd,140821.76,99
GB396432327,Allies and Morrison LLP,Allies and Morrison LLP,140434.69,7
GB156711312,Baltimore Consulting Ltd,Baltimore Consulting Ltd,139617.28,56
GB368710279,Orion Care Solutions Ltd,Orion Care Solutions Ltd,139306.0,74
167701,Partington Pre School LTD,Partington Pre School LTD,138855.8,33
GB169285327,Facultatieve Technologies Ltd,Facultatieve Technologies Ltd,138441.88,9
GB479789888,Blazing Stars Education Limited,Blazing Stars Education Limited,137782.87,22
168796,4Pureheart Ltd,4Pureheart Ltd,137571.45,11
GB629720917,Norwood Schools Limited,Norwood Schools Limited,136968.65,76
GB353869754,24x7 Ltd,24x7 Ltd,136786.68,33
168940,Classic Care Homes (Devon),Classic Care Homes (Devon),135866.6,95
GB141805532,Manchester Taxi Division Ltd,Manchester Taxi Division Ltd,133830.0,22
GB182819383,G2V Recruitment Group Ltd,G2V Recruitment Group Ltd,133278.43,57
GB812311285,VLC (Stairlifts) Limited,VLC (Stairlifts) Limited,133177.13,371
165961,Alcedo Care,Alcedo Care,132877.77,413
146711,Sale West Pre School Playgroup,Sale West Pre School Playgroup,132768.34,47
162634,Rioja Ltd,Rioja Ltd,132155.66,66
116729,Careconcepts Ltd,Careconcepts Ltd,131547.19,162
156574,Hexagon Care Services,Hexagon Care Services,131172.4,10
GB236868915,Civica Election Services Ltd,Civica Election Services Ltd,131127.29,53
GB927367300,SELECT SUPPORT PARTNERSHIPS LTD,SELECT SUPPORT PARTNERSHIPS LTD,129969.88,80
150739,Beanstalks Childcare Ltd,Beanstalks Childcare Ltd,129199.42,56
GB708224452,Q-PARK LTD,Q-PARK LTD,129176.92,43
GB613682739,LockIt Safe Ltd,LockIt Safe Ltd,128984.37,2
GB205072255,Unlimited Potential,Unlimited Potential,128000.0,4
154446,Gem & Jadeâs Happy Days Ltd,Gem & Jadeâs Happy Days Ltd,127594.5,40
GB231972268,The Abbeyfield Society,The Abbeyfield Society,126685.46,84
GB888815554,Department For Work & Pensions,Department For Work & Pensions,124660.66,2
103493,ST GEORGE'S PLAYGROUP,ST GEORGE'S PLAYGROUP,123353.89,59
152048,Amaryllis Pre-schoolÂ,Amaryllis Pre-schoolÂ,122433.36,45
158266,Just Childcare Ltd t/a Cherubs,Just Childcare Ltd t/a Cherubs,121577.09,19
103375,Potensial Ltd,Potensial Ltd,121281.89,42
167156,Altrincham Early Years Education Lt,Altrincham Early Years Education Lt,121161.77,38
GB337534688,PDR Travel Ltd,PDR Travel Ltd,120250.0,30
GB322559507,M & J Support Services CIC,M & J Support Services CIC,119849.11,286
157180,Westwood Homecare (North West) Ltd,Westwood Homecare (North West) Ltd,119636.83,261
103460,Happitots Day Nursery,Willow Tree Day Nursery Sale Ltd,118961.21,11
151313,Leigh Day & Co,Leigh Day & Co,118763.09,2
167128,Learn Active NW,Learn Active NW,117823.43000000001,56
GB303193733,Advanced Child Care Assessments Ltd,Advanced Child Care Assessments Ltd,117449.15,110
160001,Stamford Brook Preschool Ltd,Stamford Brook Preschool Ltd,116698.98,48
GB149200976,Rochdale MBC,Rochdale MBC,115753.29000000001,9
GB477991617,SME HCI T/A Vivup,SME HCI T/A Vivup,114992.23000000001,6
GB475966136,Dean Health LTD,Dean Health LTD,114042.01,533
165680,Little Sunshines Presch Partnership,Little Sunshines Presch Partnership,113994.51,65
GB141393527,MCR Blackcab Ltd,MCR Blackcab Ltd,113077.45,29
GB766800804,IDOX Software Ltd,IDOX Software Ltd,112804.05,20
100839,Halliwell Homes M/c Limited,Halliwell Homes M/c Limited,112123.51,96
GB20084738,Richmond Village Operations Ltd,Richmond Village Operations Ltd,111640.75,44
132214,DALESVIEW PARTNERSHIP,DALESVIEW PARTNERSHIP,111115.57,21
GB492435726,Randstad Solutions Ltd,Randstad Solutions Ltd,111112.98,392
GB259952452,Dobells Limited,Dobells Limited,110705.0,51
GB199872429,Freedom Communications (UK) Ltd,Freedom Communications (UK) Ltd,109914.41,38
166387,Keane Futures Ltd,Keane Futures Ltd,109626.0,60
GB369859813,Vision for Education Ltd,Vision for Education Ltd,109276.81999999999,160
GB420141559,STAFF RESOURCES LTD,STAFF RESOURCES LTD,109275.82,49
GB653370050,Nas Services Ltd,Nas Services Ltd,108695.01,25
119480,Cherryfield Homes Ltd,Cherryfield Homes Ltd,107732.73,84
GB163421683,H Jenkinson & Company Ltd,H Jenkinson & Company Ltd,106301.72,174
GB318741887,Friends of Stretford Public Hall,Friends of Stretford Public Hall,106001.84,77
102325,PRUDENTIAL LIFE & PENSIONS,PRUDENTIAL LIFE & PENSIONS,105274.81999999999,46
159778,Avensis Support Ltd,Avensis Support Ltd,105133.54,67
161939,Home to Schools Travel Ltd,Home to Schools Travel Ltd,104800.0,15
141510,The Joseph Cox Charity,The Joseph Cox Charity,104592.18,42
GB597265489,Quadient UK Ltd (formerly Neopost),Quadient UK Ltd (formerly Neopost),104269.81,16
GB626390829,UNISON,UNISON,103693.31,72
GB270589185,Advance Social Care Limited,Advance Social Care Limited,103596.15,152
150871,Healthwatch Trafford Ltd,Healthwatch Trafford Ltd,101702.25,9
126601,CRAEGMOOR HEALTHCARE,CRAEGMOOR HEALTHCARE,101354.52,20
160097,Rainbow Fostering Services Ltd,Rainbow Fostering Services Ltd,101182.88,30
GB887137581,Belong Ltd,Belong Ltd,100845.33,42
GB922742823,Groundwork Greater Manchester,Groundwork Greater Manchester,100700.1,5
103492,ST AMBROSE PREPARATORY SCHOOL,ST AMBROSE PREPARATORY SCHOOL,100324.94,15
GB198914644,Civic MEP Limited,Civic MEP Limited,100250.0,5
167534,Gravitas Care,Gravitas Care,99563.54,14
GB849738956,University of Manchester,University of Manchester,99395.95,26
GB980991275,Atamis T/A Atamis Ltd,Atamis T/A Atamis Ltd,99225.0,1
167489,Chamakh Property Services Ltd,Chamakh Property Services Ltd,98837.25,34
144287,Atlas Travel,Atlas Travel,98356.84,57
GB293366572,D A Languages Limited,D A Languages Limited,98203.44,3020
101996,Trafford United Credit Union Ltd,Trafford United Credit Union Ltd,97687.0,12
166144,Sleep and Therapy Services CIC,Sleep and Therapy Services CIC,97354.47,12
GB481682564,Safe Start School Ltd,Safe Start School Ltd,97266.65000000001,6
GB609668700,HF Trust Ltd,HF Trust Ltd,97184.25,20
GB218770886,HC-One Ltd (Kings Park),HC-One Ltd (Kings Park),96671.27,40
140660,LANGDON COMMUNITY,LANGDON COMMUNITY,96643.58,60
GB913384626,Catering Equipment Sales Limited,Catering Equipment Sales Limited,96282.43,936
GB447222460,Turning Point,Turning Point,96250.0,1
161758,Stepping Stones Childrens Homes Ltd,Stepping Stones Childrens Homes Ltd,95453.88,7
GB789250193,Hoist and Shower Chair Company Ltd,Hoist and Shower Chair Company Ltd,94032.05,31
163064,George Carnall Community Group CIC,George Carnall Community Group CIC,93174.22,11
GB888816061,Disclosure & Barring Service (CRB),Disclosure & Barring Service (CRB),93010.5,12
168075,Hallaton Manor Ltd,Hallaton Manor Ltd,92951.69,30
GB152904376,Wigan Council,Wigan Council,92566.0,2
156065,Power2 Ltd,Power2 Ltd,92423.5,16
167815,Aan Fusion Ltd,Aan Fusion Ltd,91262.75,14
150590,Maria Mallaband Properties (5) Ltd,Maria Mallaband Properties (5) Ltd,91231.61,89
GB628385120,Technogym UK Limited,Technogym UK Limited,90484.42,3
GB796642084,Barchester Health Ltd (Arbour Ct),Barchester Health Ltd (Arbour Ct),90293.0,63
133001,Voice of BME Trafford CIC,Voice of BME Trafford CIC,90246.75,12
GB222879785,Medgen Ltd,Medgen Ltd,89956.28,220
GB218770886,HC-One Ltd (Kings Park),HC-One Limited,89935.52,81
159507,Compass Fostering North Ltd,Compass Fostering North Ltd,89820.14,54
155036,Harbour Healthcare Ltd,Harbour Healthcare Ltd,89777.55,63
GB231508635,BlueSci Support CIC,BlueSci Support CIC,89353.54,22
164885,Alexandra Lodge Care Home,Alexandra Lodge Care Home,88760.4,66
163105,Tutis Foster Care,Tutis Foster Care,88629.3,48
153702,Sure Care (UK) Ltd,Sure Care (UK) Ltd,87318.28,58
GB0128940791,Three Circles Fostering,Three Circles Fostering,87055.49,88
GB290454204,Advinia Care Homes Ltd,Advinia Care Homes Ltd,86993.25,67
164535,Age Concern Manchester,Age Concern Manchester,86853.34,77
GB479632739,Saoirse Services Ltd,Saoirse Services Ltd,86790.0,23
132709,Salford Foundation Ltd,Salford Foundation Ltd,86567.0,5
GB577657579,Savills (UK) Ltd,Savills (UK) Ltd,86424.75,8
168674,CareTech Community Services Ltd,CareTech Community Services Ltd,86243.45,16
166570,DHCH14,DHCH14,86071.92,44
162683,Lagan's Foundation,Lagan's Foundation,85825.3,54
GB461582485,Progress Arc Ltd,Progress Arc Ltd,85671.32,4
103458,Hale Synagogue Nursery,Hale Synagogue Nursery,85141.17,32
GB811541759,GL Education Group Ltd,GL Education Group Ltd,85137.76,9
168137,JDW Consulting Ltd,JDW Consulting Ltd,85014.93000000001,42
GB358723175,Connect Care Patient Transport Ltd,Connect Care Patient Transport Ltd,84730.0,17
101497,Yorklea Nursing Home,Yorklea Nursing Home,84035.05,65
166730,Arrow Education Services,Arrow Education Services,83955.0,31
150991,Cheshire Grange,Cheshire Grange,82799.12,86
165747,Reach-In For Care,Reach-In For Care,82262.0,12
GB486704947,Prospero Group Ltd,Prospero Group Ltd,82174.03,171
GB896104112,Mary Hare School,Mary Hare School,81742.0,5
163497,Busy Bees Nurseries Ltd (Sale),Busy Bees Nurseries Ltd (Sale),81388.29,8
167334,All Season Care ltd,All Season Care ltd,81206.47,14
GB407940059,Washington Direct Mail Ltd (WDM),Washington Direct Mail Ltd (WDM),80873.5,64
161761,Care Station NW ltd,Care Station NW ltd,80490.37,30
GB245684676,ANS Group Ltd,ANS Group Ltd,80381.01999999999,5
167578,Moorstone York Opco Ltd,Moorstone York Opco Ltd,80309.43,50
157493,Ashley House Residential Home,Ashley House Residential Home,79894.31,68
GB108246529,DAC Beachcroft LLP,DAC Beachcroft LLP,78628.47,20
GB149151958,Manchester City Council,Our Lady's RC Primary School,78553.47,32
163632,Amberwood Travel,Amberwood Travel,78090.0,22
100447,Broughton Hs Home For Ex-Servicemen,Broughton Hs Home For Ex-Servicemen,78047.19,46
GB991224023,Lyric Theatre Hammersmith Ltd,Lyric Theatre Hammersmith Ltd,77752.97,4
GB778468756,Mace Consult Ltd,Mace Consult Ltd,76348.59,13
GB143783596,Trinity CofE High SchoolÂ,Trinity CofE High SchoolÂ,75918.88,41
GB626524835,HIGHFIELD ROAD,Priory Healthcare Ltd,75853.87999999999,21
GB317764974,United Response,United Response,75695.94,17
GB799151580,Locata (Housing Services) Limited,Locata (Housing Services) Limited,75450.0,16
153960,Crystal House Platinum Ltd,Crystal House Platinum Ltd,75410.85,43
134470,Nisai Virtual Academy Ltd,Nisai Virtual Academy Ltd,75200.0,4
162847,Astley Grange Homes Ltd,Astley Grange Homes Ltd,75141.45,79
GB856057116,TeacherActive Limited,TeacherActive Limited,74755.68000000001,101
168094,Horizon Supported Accommodation Ltd,Horizon Supported Accommodation Ltd,74491.68000000001,94
GB591010375,Sandwich King,Sandwich King,74466.17,152
163949,Lakeside Care Ltd,Lakeside Care Ltd,74250.28,104
163586,Travel Deluxe Ltd,Travel Deluxe Ltd,74100.0,15
GB569953277,Vodafone Ltd (Cameras),Vodafone Ltd (Cameras),73650.0,1
166697,Myles Academy,Myles Academy,73333.32,5
165810,Strive Academy Ltd,Strive Academy Ltd,73110.0,12
162778,Little Sunshines Preschool,Little Sunshines Preschool,73032.92,46
GB162456117,Citizens Advice SORT Group ltd,Citizens Advice SORT Group ltd,73000.02,6
GB433497186,Lyndrose Limited,Lyndrose Limited,72944.4,51
GB677346300,Cuerden Developments Ltd,Cuerden Developments Ltd,72900.84999999999,21
GB727102071,Skills & Work Solutions (GC Employm,Skills & Work Solutions (GC Employm,72879.0,1
GB771120658,Coverage Care Services Limited,Coverage Care Services Limited,72805.29000000001,46
161174,Qualia Care Ltd (in administration),Qualia Care Ltd (in administration),72136.24,46
168715,St Monica's RC Primary School,St Monica's RC Primary School,72045.13,6
GB232073347,Country Court Care Homes 2 Limited,Country Court Care Homes 2 Limited,71821.82,42
GB0796642084,Barchester Healthcare (Homes) Ltd,Barchester Healthcare (Homes) Ltd,71349.51,54
119049,Pendleton Care Ltd T/A Potens,Pendleton Care Ltd T/A Potens,71336.06999999999,21
GB684966762,British Gas,British Gas,71052.62,84
GB611709463,Arboricultural Services TreeworkÂ Lt,Arboricultural Services TreeworkÂ Lt,71033.0,17
160127,Achieve Together Limited,Achieve Together Limited,68856.62,73
GB834863893,ANCHOR TRUST (PENDLETON CENTRE),ANCHOR TRUST (PENDLETON CENTRE),68846.05,62
159194,Beech Hall School Ltd,Beech Hall School Ltd,68511.39,9
163104,Diverse Active Living,Diverse Active Living,68460.92,172
166910,Northern Estate Management Ltd,Northern Estate Management Ltd,68129.6,15
GB379345455,Gatley Surfacing Civils Ltd,Gatley Surfacing Civils Ltd,67820.0,3
159124,Early Break,Early Break,67270.48,8
167454,The Sovereign Trust,The Sovereign Trust,66783.37,8
GB153400995,Askews and Holts Library Services L,Askews and Holts Library Services L,66713.7,51
165056,Brookdale Care Home Limited,Brookdale Care Home Limited,66695.23,70
GB918384400,Electricity North West Ltd,Electricity North West Ltd,66486.26000000001,7
153702,Sure Care (UK) Ltd,Sure Care UK Ltd (Brocklehurst N H),66451.2,63
GB712736054,Borough Care Ltd,Borough Care Ltd,66396.75,101
GB603391466,Trafford Athletic Club,Trafford Athletic Club,66312.15,1
165346,Mansion House Residential Home,Mansion House Residential Home,66297.06,42
165717,The Fostering Team,The Fostering Team,65874.83,31
113816,OK Mum (UK) Limited,OK Mum (UK) Limited,65763.0,4
GB433695280,Hidden Treasure Trust CIO,Hidden Treasure Trust CIO,65729.66,9
GB897349750,NPS Energy Ltd T/A NPS Solar,NPS Energy Ltd T/A NPS Solar,65662.3,2
149397,Choices Home for Children Ltd,Choices Home for Children Ltd,65521.29,6
GB483320402,EK Outreach Services Ltd,EK Outreach Services Ltd,65436.0,8
GB166937716,Odlings Ltd T/A Columbaria Company,Odlings Ltd T/A Columbaria Company,65365.4,134
GB236580162,PermiServ Ltd,PermiServ Ltd,65231.12,10
126376,Wellfield Estates Ltd,Wellfield Estates Ltd,65159.829999999994,37
166528,Therapeutic Care Limited,Therapeutic Care Limited,65004.52,6
164439,WCG Fountains Ltd,WCG Fountains Ltd,65004.31,36
165407,IASPIRE Supported Living & Respite,IASPIRE Supported Living & Respite,64665.28,20
163558,Beyond Empower CIC,Beyond Empower CIC,64548.0,3
GB648143824,Miles Bramwell Admin Services Ltd,Miles Bramwell Admin Services Ltd,64500.0,2
101353,St Johns Centre,St Johns Centre,64496.0,11
164167,Cromwood Ltd,Cromwood Ltd,64211.36,26
GB480303321,The Greenhouse Learning & Developme,The Greenhouse Learning & Developme,63202.3,20
167987,Key Care and Support Ltd,Key Care and Support Ltd,63117.04,72
168867,Cade Care Ltd,Cade Care Ltd,62686.240000000005,12
158978,Park Avenue Montessori Nursery Ltd,Pear Tree Montessori Nursery,62437.5,10
164332,Darlington Borough Council,Darlington Borough Council,62324.4,38
GB746075129,Insight Direct (UK) Ltd,Insight Direct (UK) Ltd,61906.3,35
166900,Harbour Healthcare Woodlands Ltd,Harbour Healthcare Woodlands Ltd,61324.33,42
167850,Moore & Moore Care Ltd,Moore & Moore Care Ltd,61290.24,56
GB149151958,Manchester City Council,Loreto High School,61289.26,24
GB439864347,APL Security Group Ltd,APL Security Group Ltd,61200.840000000004,156
GB342714514,Invuse Limited,Invuse Limited,60605.88,18
GB491848503,Softcat Plc,Softcat Plc,60349.27,6
GB253494491,Maxwell Bond Ltd - Temp Placements,Maxwell Bond Ltd - Temp Placements,60288.0,7
GB275951857,Planit I.E. Limited,Planit I.E. Limited,59850.0,4
164434,The Essential English Centre Ltd,The Essential English Centre Ltd,59250.0,3
160611,Westwood Court (Winsford) Ltd,Westwood Court (Winsford) Ltd,58954.74,42
143450,Avery Homes Moston Ltd,Avery Homes Moston Ltd,58940.36,85
153887,Compassionate Care Ltd,Compassionate Care Ltd,58732.3,450
GB100183281,KIDS,KIDS,58084.0,12
GB768362492,Npower Ltd,Npower Ltd,57972.72,175
165879,A50 Ltd,A50 Ltd,57954.25,18
162590,Freshworks Inc,Freshworks Inc,57600.06,3
GB351877180,Aldridge Education,Aldridge Education,57506.34,22
167747,Bloem Care Limited,Bloem Care Limited,57416.8,32
GB443887555,Chess Cybersecurity Limited,Chess Cybersecurity Limited,57332.2,5
101654,Autism Together,Autism Together,56973.71,22
168595,Deafway,Deafway,56901.14,14
GB465234490,6into7 Ltd T/A Pupil Pathways,6into7 Ltd T/A Pupil Pathways,56752.5,2
168051,The Ark Groups - Dunham School Hous,The Ark Groups - Dunham School Hous,56006.579999999994,15
163517,A1 Foster Care,A1 Foster Care,55891.19,27
150414,Remedi -Restorative Services,Remedi -Restorative Services,55714.0,2
GB821077453,Flowbird Smart City UK Ltd,Flowbird Smart City UK Ltd,55603.759999999995,23
168687,Greensleeves Homes Trust,Greensleeves Homes Trust,55400.0,10
GB927104637,Keys PCE Ltd,Keys Stepping Stones LTD,55302.72,12
GB483154975,TSOM Mentoring,TSOM Mentoring,55203.5,60
168448,Outreach Community & Res. Services,Outreach Community & Res. Services,55111.28,28
GB793268292,Pulse Regeneration Limited,Pulse Regeneration Limited,55000.0,2
GB149213375,Bolton Council,Bolton Council,54674.36,11
163632,Amberwood Travel,Amberwood Travel (Nicola Kelly),54610.0,5
157763,Inspire Community Services Limited,Inspire Community Services Limited,54583.840000000004,66
GB245719348,EE Ltd (Airtime),EE Ltd (Airtime),54577.96,13
GB479701945,Nugent,Nugent,54481.21,7
GB348147388,Prospere Learn Trust Chorlt High,Prospere Learn Trust Piper Hill Sch,54421.59,20
119793,Play Works Limited,Play Works Limited,54371.78,40
130379,SWALLOWDALE,SWALLOWDALE,54363.840000000004,21
165485,Countrywide Care Homes 2 Ltd,Countrywide Care Homes 2 Ltd,54189.36,29
GB483068082,Timeout Children's Homes Ltd,Timeout Children's Homes Ltd,54145.229999999996,5
166357,Child First Residential Ltd,Child First Residential Ltd,53987.15,8
GB194726962,Edstart Specialist Education Ltd,Edstart Specialist Education Ltd,53841.35,5
100788,Washway Road Medical Centre,Washway Road Medical Centre,53132.0,52
168335,Beatrice Care Limited,Beatrice Care Limited,53023.94,9
GB154049911,LifeCentre Events LtdÂ,LifeCentre Events LtdÂ,52952.7,136
GB123393627,Womble Bond Dickenson (UK) LLP,Womble Bond Dickenson (UK) LLP,52822.270000000004,6
GB243170002,Royal Mail Group Ltd,Royal Mail Group Ltd,52735.08,146
167792,Hill Care 1 Ltd,Hill Care 1 Ltd,52564.86,40
GB245687569,Bell-TSII Ltd T/A Nomia,Bell-TSII Ltd T/A Nomia,52558.29,14
156984,Theana Limited t/a Enlighten Home,Theana Limited t/a Enlighten Home,52550.71,20
GB995237573,SEA Recruitment Services Ltd,SEA Recruitment Services Ltd,52461.020000000004,58
GB883002932,Vivedia Ltd,Vivedia Ltd,52079.48,17
166904,Intel Dynamic Futures Ltd,Intel Dynamic Futures Ltd,51976.0,8
166757,Kiddiewinkles Limited,Kiddiewinkles Limited,51859.77,45
160047,Homecare4u Ltd/Cera Care,Homecare4u Ltd/Cera Care,51197.869999999995,268
GB970621718,Fox and Associates Consulting Ltd,Fox and Associates Consulting Ltd,51161.869999999995,12
GB559124236,Peters Limited,Peters Limited,51024.240000000005,36
162583,RS Property Estates Ltd,RS Property Estates Ltd,50870.0,25
168823,Felicity Childrenâs Care Group,Felicity Childrenâs Care Group,50746.28,4
160860,Dove's Nest Ltd,Dove's Nest Ltd,50602.840000000004,42
GB974955458,Croftwood Care UK Ltd,Croftwood Care UK Ltd,50093.63,21
168757,Inclusive Living Nw ltd,Inclusive Living Nw ltd,49919.0,19
GB313870022,No Isolation Ltd,No Isolation Ltd,49683.0,7
GB222212371,Catalyst Choices CIC,Catalyst Choices CIC,49480.75,42
GB523797128,Canon (UK) Ltd,Canon (UK) Ltd,49473.96,22
GB727157624,MJB 24Hr Travel,MJB 24Hr Travel,49471.98,23
GB724548231,Bottomline Technologies Ltd,Bottomline Technologies Ltd,49219.03,7
GB794396079,Imperial Civil Enforcement Solution,Imperial Civil Enforcement Solution,49097.810000000005,16
GB902188441,Acorn Care & Education Ltd,Fostering Solutions Ltd,48648.79,26
166484,Harbour Healthcare Warrington Ltd,Harbour Healthcare Warrington Ltd,48618.17,42
167439,Croft Care Home (Whalley) Limited,Croft Care Home (Whalley) Limited,48419.18,42
167768,Family Care Fostering Ltd,Family Care Fostering Ltd,48330.560000000005,34
165146,SVRT Ltd,SVRT Ltd,47987.25,42
GB425712073,Thomas Kershaw Builders Ltd,Thomas Kershaw Builders Ltd,47857.9,2
GB409598163,Jep Youth Engagement Ltd,Jep Youth Engagement Ltd,47840.0,15
164686,Care and Community Ltd,Care and Community Ltd,47832.700000000004,17
GB843863011,Restore Plc,Restore Plc,47809.93,36
GB309529980,The Arch Company Properties Ltd,The Arch Company Properties Ltd,47477.81,33
155010,Amiable Medical Services Ltd,Amiable Medical Services Ltd,47340.0,39
GB322673120,Bloom Procurement Services Ltd,Bloom Procurement Services Ltd,47184.66,7
GB113153268,RecycleIT Now LTD T/A RecycleIT,RecycleIT Now LTD T/A RecycleIT,47000.0,5
163657,Sai Care Limited,Sai Care Limited,46960.41,42
151114,Embrace Childcare,Embrace Childcare,46839.29,35
168187,Social Work Enterprise,Social Work Enterprise,46714.299999999996,9
GB152847160,Warrington Borough Council,Warrington Borough Council,46419.69,3
159753,Peak Social Care Limited,Peak Social Care Limited,46410.0,12
GB330604640,Indigo Care Services Ltd,Indigo Care Services Ltd,46192.14,16
141923,SPRINGCARE (SANDIWAY) LTD,SPRINGCARE (SANDIWAY) LTD,46114.14,26
GB674990873,CoStar UK Limited,CoStar UK Limited,45831.72,6
166989,Gainford Care Homes Ltd,Gainford Care Homes Ltd,45693.380000000005,43
GB974955456,Croftwood Care (Cheshire) Ltd,Croftwood Care (Cheshire) Ltd,45579.51,21
168323,Millennium Care (U.K.) Limited,Millennium Care (U.K.) Limited,45492.86,7
GB149167054,Oldham Council,Oldham Council,45445.89,17
162666,Our Sale West,Our Sale West,45415.380000000005,11
GB382264686,Sunbeam Fostering,Sunbeam Fostering,45347.79,19
GB834863893,ANCHOR TRUST (PENDLETON CENTRE),Anchor Care Homes Ltd,45325.090000000004,43
163227,MNS Care PLC,MNS Care PLC,45105.47,31
GB371662293,Digital advantage T/A DISC,Digital advantage T/A DISC,45009.74,38
149494,Skolak Homes Ltd,Skolak Homes Ltd,44724.81,35
163526,MMCG (2) Ltd,MMCG (2) Ltd,44586.11,21
150973,Broughton Care Ltd,Broughton Care Ltd,44574.0,29
GB135607225,Lymm High School,Lymm High School,43988.05,30
GB195908850,Oakbridge Retirement Villages LLP,Oakbridge Retirement Villages LLP,43917.229999999996,22
149442,Courtyard Care Ltd,Courtyard Care Ltd,43911.32,3
162425,Foundation 92,Foundation 92,43643.75,5
168536,IBC Quality Solutions Ltd,IBC Quality Solutions Ltd,43445.6,8
GB100135687,Addleshaw Goddard LLP,Addleshaw Goddard LLP,43424.7,11
137474,THE HOLLANDS CARE HOMES LIMITED,THE HOLLANDS CARE HOMES LIMITED,43369.15,21
GB218770886,HC-One Ltd (Kings Park),HC-One Ltd (Acorn Hollow),43230.770000000004,21
GB606689315,Oldham College,Oldham College,43079.26,11
165827,Bondcare (Darrington) Limited,Bondcare (Darrington) Limited,42790.979999999996,42
GB478437838,Raise the Youth Foundation CIC,Raise the Youth Foundation CIC,42645.02,6
GB348147388,Prospere Learn Trust Chorlt High,Prospere Learning Trust-Pioneer Hse,42617.03,12
163555,Hurstead House Care Home,Hurstead House Care Home,42596.189999999995,42
GB670049838,Bernhards Sports Surfaces Ltd,Bernhards Sports Surfaces Ltd,42386.810000000005,2
167911,Faith Fostering NE Ltd,Faith Fostering NE Ltd,42380.38,22
162702,Dove Care Limited,Dove Care Limited,42374.729999999996,42
GB273390886,Stellar Network Solutions Ltd,Stellar Network Solutions Ltd,42260.0,29
168316,Upwards Care Solutions,Upwards Care Solutions,42166.82,26
GB222290247,Liz Murphy Consultancy Limited,Liz Murphy Consultancy Limited,42150.0,12
109909,Altrincham Baptist Church,Altrincham Baptist Church,41896.0,9
155875,Harbour Healthcare Ltd,Harbour Healthcare Ltd,41324.93,21
